species,age,length
Mackerel,7,34
Mackerel,8,34
Mackerel,1,28
Cod,5,92
Cod,7,91
Cod,2,47
Cod,3,72
Cod,6,98
Cod,4,89
Haddock,4,51
Haddock,2,41
Haddock,6,63
Haddock,8,62
Haddock,7,63
Haddock,5,59
Haddock,3,48
Plaice,21,57
Plaice,4,38
Plaice,26,58
Plaice,3,35
Plaice,6,41
Plaice,18,54
Plaice,16,55
Plaice,27,52
Plaice,5,40
Plaice,1,28
Plaice,9,45
Plaice,15,54
Plaice,8,44
Plaice,17,56
Plaice,19,55
Plaice,2,33
Plaice,14,53
Plaice,12,48
Plaice,7,43
Plaice,11,46
Plaice,22,58
Plaice,25,56
Plaice,13,51
Plaice,10,47
Plaice,20,55
Sole,28,49
Sole,2,26
Sole,4,30
Sole,3,28
Sole,1,22
Sole,23,49
Sole,21,49
Sole,36,50
Sole,19,50
Sole,22,50
Sole,32,50
Sole,20,51
Sole,5,34
Sole,27,49
Sole,30,49
Sole,18,51
Sole,16,50
Sole,26,50
Sole,38,47
Sole,15,50
Sole,29,47
Sole,24,49
Sole,25,50
Sole,7,39
Sole,6,38
Sole,12,46
Sole,17,46
Sole,31,51
Sole,10,46
Sole,9,42
Sole,11,43
Sole,14,45
Sole,13,46
Sole,8,40
Whiting,5,44
Whiting,4,43
Whiting,6,53
Whiting,2,32
Whiting,7,47
Whiting,3,38
Cod,4,86
Cod,6,101
Cod,2,50
Cod,1,42
Cod,5,94
Cod,3,69
Mackerel,2,31
Mackerel,5,32
Mackerel,4,31
Mackerel,6,35
Mackerel,8,34
Mackerel,7,30
Mackerel,1,29
Mackerel,3,31
Plaice,6,36
Plaice,2,33
Plaice,5,36
Plaice,11,38
Plaice,16,38
Plaice,8,36
Plaice,4,36
Plaice,15,42
Plaice,3,34
Plaice,14,36
Plaice,7,36
Plaice,10,37
Plaice,13,43
Plaice,1,30
Plaice,12,40
Plaice,9,36
Sole,20,41
Sole,17,41
Sole,27,43
Sole,26,47
Sole,18,42
Sole,12,41
Sole,13,41
Sole,14,41
Sole,29,47
Sole,19,43
Sole,15,41
Sole,10,41
Sole,16,42
Sole,8,40
Sole,9,41
Sole,21,43
Sole,22,42
Sole,23,46
Sole,11,41
Sole,7,37
Sole,25,46
Sole,6,39
Sole,31,43
Sole,24,47
Sole,5,36
Sole,4,35
Sole,3,28
Mackerel,3,30
Mackerel,6,36
Mackerel,8,35
Mackerel,12,38
Mackerel,5,33
Mackerel,4,32
Mackerel,0,27
Mackerel,11,39
Mackerel,2,28
Mackerel,7,35
Mackerel,9,38
Mackerel,1,25
Mackerel,10,37
Haddock,3,41
Haddock,6,51
Haddock,7,59
Haddock,4,45
Haddock,2,35
Haddock,5,52
Plaice,13,47
Plaice,10,40
Plaice,14,44
Plaice,9,39
Plaice,1,30
Plaice,15,52
Plaice,18,53
Plaice,4,39
Plaice,7,40
Plaice,8,39
Plaice,16,46
Plaice,6,39
Plaice,2,34
Plaice,11,43
Plaice,3,35
Plaice,5,39
Plaice,12,43
Sole,26,46
Sole,27,44
Sole,21,44
Sole,20,43
Sole,18,42
Sole,19,43
Sole,17,42
Sole,22,43
Sole,23,46
Sole,14,42
Sole,16,43
Sole,25,46
Sole,13,42
Sole,15,42
Sole,9,42
Sole,3,28
Sole,4,34
Sole,11,41
Sole,10,42
Sole,24,46
Sole,7,37
Sole,8,41
Sole,12,42
Sole,6,38
Sole,5,36
Sole,31,43
Whiting,6,48
Whiting,4,43
Whiting,7,51
Whiting,3,40
Whiting,5,46
Whiting,2,34
Mackerel,5,34
Mackerel,2,30
Mackerel,4,31
Mackerel,3,31
Mackerel,8,34
Mackerel,7,30
Mackerel,1,29
Mackerel,6,35
Plaice,3,34
Plaice,6,37
Plaice,8,38
Plaice,1,29
Plaice,2,32
Plaice,14,44
Plaice,4,37
Plaice,16,49
Plaice,7,39
Plaice,13,48
Plaice,5,38
Plaice,9,39
Plaice,10,41
Plaice,11,42
Plaice,15,48
Plaice,12,43
Sole,4,35
Sole,29,48
Sole,27,44
Sole,24,47
Sole,11,42
Sole,19,45
Sole,8,42
Sole,6,41
Sole,7,38
Sole,26,47
Sole,9,43
Sole,5,35
Sole,2,24
Sole,25,47
Sole,3,27
Sole,23,46
Sole,15,44
Sole,12,44
Sole,14,44
Sole,22,44
Sole,16,44
Sole,20,44
Sole,13,44
Sole,17,43
Sole,21,44
Sole,10,44
Sole,18,44
Sole,30,49
Sole,31,43
Cod,2,54
Cod,4,86
Cod,3,68
Cod,1,44
Plaice,3,34
Plaice,4,35
Plaice,7,37
Plaice,11,42
Plaice,6,36
Plaice,1,26
Plaice,2,31
Plaice,9,40
Plaice,5,36
Plaice,15,49
Plaice,8,38
Plaice,13,43
Plaice,12,42
Plaice,10,39
Haddock,6,65
Haddock,7,62
Haddock,4,55
Haddock,5,57
Haddock,2,46
Haddock,3,50
Cod,2,49
Cod,7,96
Cod,3,70
Cod,6,103
Cod,5,95
Cod,4,96
Haddock,6,62
Haddock,7,57
Haddock,2,44
Haddock,5,54
Haddock,3,48
Haddock,4,52
